size,seen,unseen,proportion
148,31,117,0.20945945945945946
149,22,127,0.1476510067114094
150,10,140,0.06666666666666667
151,35,116,0.23178807947019867
152,13,139,0.08552631578947369
153,20,133,0.13071895424836602
154,23,131,0.14935064935064934
155,10,145,0.06451612903225806
156,11,145,0.07051282051282051
157,28,129,0.17834394904458598
158,10,148,0.06329113924050633
159,14,145,0.0880503144654088
160,24,136,0.15
161,12,149,0.07453416149068323
162,22,140,0.13580246913580246
163,14,149,0.08588957055214724
164,24,140,0.14634146341463414
165,18,147,0.10909090909090909
166,32,134,0.1927710843373494
167,24,143,0.1437125748502994
168,14,154,0.08333333333333333
169,11,158,0.0650887573964497
170,15,155,0.08823529411764706
171,20,151,0.11695906432748537
172,23,149,0.13372093023255813
173,17,156,0.09826589595375723
174,24,150,0.13793103448275862
175,24,151,0.13714285714285715
176,25,151,0.14204545454545456
177,32,145,0.1807909604519774
178,33,145,0.1853932584269663
179,19,160,0.10614525139664804
180,11,169,0.06111111111111111
181,13,168,0.0718232044198895
182,15,167,0.08241758241758242
183,24,159,0.13114754098360656
184,15,169,0.08152173913043478
185,25,160,0.13513513513513514
186,17,169,0.0913978494623656
187,11,176,0.058823529411764705
188,15,173,0.0797872340425532
189,33,156,0.1746031746031746
190,27,163,0.14210526315789473
191,16,175,0.08376963350785341
192,11,181,0.057291666666666664
193,28,165,0.14507772020725387
194,23,171,0.11855670103092783
195,11,184,0.05641025641025641
196,32,164,0.16326530612244897
197,12,185,0.06091370558375635
198,21,177,0.10606060606060606
199,14,185,0.07035175879396985
200,42,158,0.21
201,26,175,0.12935323383084577
202,16,186,0.07920792079207921
203,49,154,0.2413793103448276
204,13,191,0.06372549019607843
205,21,184,0.1024390243902439
206,16,190,0.07766990291262135
207,27,180,0.13043478260869565
208,28,180,0.1346153846153846
209,26,183,0.12440191387559808
210,12,198,0.05714285714285714
211,20,191,0.0947867298578199
212,17,195,0.08018867924528301
213,36,177,0.16901408450704225
214,35,179,0.16355140186915887
215,16,199,0.07441860465116279
216,22,194,0.10185185185185185
217,22,195,0.10138248847926268
218,20,198,0.09174311926605505
219,16,203,0.0730593607305936
220,17,203,0.07727272727272727
221,12,209,0.05429864253393665
222,29,193,0.13063063063063063
223,13,210,0.05829596412556054
224,25,199,0.11160714285714286
225,24,201,0.10666666666666667
226,40,186,0.17699115044247787
227,26,201,0.1145374449339207
228,12,216,0.05263157894736842
229,39,190,0.1703056768558952
230,17,213,0.07391304347826087
231,23,208,0.09956709956709957
232,26,206,0.11206896551724138
233,12,221,0.05150214592274678
234,18,216,0.07692307692307693
235,22,213,0.09361702127659574
236,12,224,0.05084745762711865
237,20,217,0.08438818565400844
238,21,217,0.08823529411764706
239,38,201,0.1589958158995816
240,13,227,0.05416666666666667
241,25,216,0.1037344398340249
242,17,225,0.07024793388429752
243,16,227,0.06584362139917696
244,24,220,0.09836065573770492
245,28,217,0.11428571428571428
246,24,222,0.0975609756097561
247,30,217,0.1214574898785425
248,17,231,0.06854838709677419
249,39,210,0.1566265060240964
250,21,229,0.084
251,14,237,0.055776892430278883
252,15,237,0.05952380952380952
253,13,240,0.05138339920948617
254,32,222,0.12598425196850394
255,18,237,0.07058823529411765
256,28,228,0.109375
257,33,224,0.12840466926070038
258,19,239,0.07364341085271318
259,39,220,0.15057915057915058
260,25,235,0.09615384615384616
261,25,236,0.09578544061302682
262,21,241,0.08015267175572519
263,17,246,0.06463878326996197
264,13,251,0.04924242424242424
265,31,234,0.1169811320754717
266,27,239,0.10150375939849623
267,33,234,0.12359550561797752
268,32,236,0.11940298507462686
269,24,245,0.08921933085501858
270,14,256,0.05185185185185185
271,13,258,0.04797047970479705
272,20,252,0.07352941176470588
273,22,251,0.08058608058608059
274,24,250,0.08759124087591241
275,38,237,0.13818181818181818
276,13,263,0.04710144927536232
277,30,247,0.10830324909747292
278,23,255,0.08273381294964029
279,13,266,0.04659498207885305
280,16,264,0.05714285714285714
281,15,266,0.05338078291814947
282,22,260,0.07801418439716312
283,18,265,0.0636042402826855
284,32,252,0.11267605633802817
285,30,255,0.10526315789473684
286,25,261,0.08741258741258741
287,14,273,0.04878048780487805
288,22,266,0.0763888888888889
289,25,264,0.08650519031141868
290,21,269,0.07241379310344828
291,23,268,0.07903780068728522
292,44,248,0.1506849315068493
293,46,247,0.15699658703071673
294,28,266,0.09523809523809523
295,28,267,0.09491525423728814
296,31,265,0.10472972972972973
297,21,276,0.0707070707070707
298,33,265,0.11073825503355705
299,19,280,0.06354515050167224
300,14,286,0.04666666666666667
301,26,275,0.08637873754152824
302,46,256,0.152317880794702
303,28,275,0.0924092409240924
304,15,289,0.049342105263157895
305,37,268,0.12131147540983607
306,20,286,0.06535947712418301
307,29,278,0.09446254071661238
308,36,272,0.11688311688311688
309,26,283,0.08414239482200647
310,24,286,0.07741935483870968
311,14,297,0.04501607717041801
312,26,286,0.08333333333333333
313,29,284,0.0926517571884984
314,31,283,0.09872611464968153
315,29,286,0.09206349206349207
316,53,263,0.16772151898734178
317,19,298,0.05993690851735016
318,14,304,0.0440251572327044
319,28,291,0.0877742946708464
320,24,296,0.075
321,35,286,0.10903426791277258
322,33,289,0.10248447204968944
323,14,309,0.043343653250773995
324,23,301,0.07098765432098765
325,38,287,0.11692307692307692
326,14,312,0.04294478527607362
327,20,307,0.06116207951070336
328,29,299,0.08841463414634146
329,29,300,0.08814589665653495
330,18,312,0.05454545454545454
331,20,311,0.06042296072507553
332,32,300,0.0963855421686747
333,33,300,0.0990990990990991
334,24,310,0.0718562874251497
335,62,273,0.18507462686567164
336,30,306,0.08928571428571429
337,41,296,0.12166172106824925
338,37,301,0.10946745562130178
339,55,284,0.16224188790560473
340,15,325,0.04411764705882353
341,17,324,0.04985337243401759
342,20,322,0.05847953216374269
343,30,313,0.08746355685131195
344,24,320,0.06976744186046512
345,28,317,0.08115942028985507
346,35,311,0.10115606936416185
347,54,293,0.15561959654178675
348,24,324,0.06896551724137931
349,29,320,0.0830945558739255
350,24,326,0.06857142857142857
351,20,331,0.05698005698005698
352,35,317,0.09943181818181818
353,15,338,0.042492917847025496
354,39,315,0.11016949152542373
355,20,335,0.056338028169014086
356,50,306,0.1404494382022472
357,21,336,0.058823529411764705
358,19,339,0.05307262569832402
359,47,312,0.1309192200557103
360,41,319,0.11388888888888889
361,40,321,0.11080332409972299
362,31,331,0.0856353591160221
363,16,347,0.0440771349862259
364,15,349,0.04120879120879121
365,46,319,0.12602739726027398
366,24,342,0.06557377049180328
367,38,329,0.10354223433242507
368,26,342,0.07065217391304347
369,46,323,0.12466124661246612
370,25,345,0.06756756756756757
371,15,356,0.04043126684636118
372,17,355,0.0456989247311828
373,22,351,0.058981233243967826
374,37,337,0.09893048128342247
375,21,354,0.056
376,15,361,0.0398936170212766
377,54,323,0.14323607427055704
378,33,345,0.0873015873015873
379,15,364,0.0395778364116095
380,43,337,0.11315789473684211
381,36,345,0.09448818897637795
382,16,366,0.041884816753926704
383,23,360,0.06005221932114883
384,20,364,0.052083333333333336
385,47,338,0.12207792207792208
386,32,354,0.08290155440414508
387,21,366,0.05426356589147287
388,26,362,0.06701030927835051
389,36,353,0.09254498714652956
390,25,365,0.0641025641025641
391,34,357,0.08695652173913043
392,32,360,0.08163265306122448
393,21,372,0.05343511450381679
394,29,365,0.07360406091370558
395,23,372,0.05822784810126582
396,43,353,0.10858585858585859
397,29,368,0.07304785894206549
398,34,364,0.08542713567839195
399,16,383,0.040100250626566414
400,44,356,0.11
401,17,384,0.04239401496259352
402,26,376,0.06467661691542288
403,45,358,0.11166253101736973
404,29,375,0.07178217821782178
405,30,375,0.07407407407407407
406,49,357,0.1206896551724138
407,33,374,0.08108108108108109
408,18,390,0.04411764705882353
409,35,374,0.08557457212713937
410,21,389,0.05121951219512195
411,24,387,0.058394160583941604
412,16,396,0.038834951456310676
413,52,361,0.12590799031476999
414,27,387,0.06521739130434782
415,32,383,0.07710843373493977
416,38,378,0.09134615384615384
417,23,394,0.05515587529976019
418,26,392,0.06220095693779904
419,60,359,0.1431980906921241
420,28,392,0.06666666666666667
421,24,397,0.057007125890736345
422,33,389,0.07819905213270142
423,16,407,0.037825059101654845
424,17,407,0.04009433962264151
425,33,392,0.07764705882352942
426,36,390,0.08450704225352113
427,34,393,0.07962529274004684
428,47,381,0.10981308411214953
429,36,393,0.08391608391608392
430,16,414,0.037209302325581395
431,20,411,0.04640371229698376
432,22,410,0.05092592592592592
433,66,367,0.15242494226327943
434,22,412,0.05069124423963134
435,16,419,0.0367816091954023
436,22,414,0.05045871559633028
437,39,398,0.08924485125858124
438,16,422,0.0365296803652968
439,18,421,0.04100227790432802
440,25,415,0.056818181818181816
441,46,395,0.10430839002267574
442,19,423,0.042986425339366516
443,17,426,0.03837471783295711
444,31,413,0.06981981981981981
445,37,408,0.08314606741573034
446,35,411,0.07847533632286996
447,34,413,0.07606263982102908
448,37,411,0.08258928571428571
449,25,424,0.0556792873051225
450,24,426,0.05333333333333334
451,37,414,0.082039911308204
452,54,398,0.11946902654867257
453,46,407,0.10154525386313466
454,42,412,0.09251101321585903
455,37,418,0.08131868131868132
456,28,428,0.06140350877192982
457,32,425,0.0700218818380744
458,72,386,0.1572052401746725
459,34,425,0.07407407407407407
460,17,443,0.03695652173913044
461,23,438,0.049891540130151846
462,23,439,0.049783549783549784
463,21,442,0.04535637149028078
464,30,434,0.06465517241379311
465,47,418,0.1010752688172043
466,52,414,0.11158798283261803
467,53,414,0.11349036402569593
468,18,450,0.038461538461538464
469,38,431,0.08102345415778252
470,35,435,0.07446808510638298
471,37,434,0.07855626326963906
472,32,440,0.06779661016949153
473,17,456,0.035940803382663845
474,20,454,0.04219409282700422
475,39,436,0.08210526315789474
476,38,438,0.07983193277310924
477,29,448,0.06079664570230608
478,38,440,0.0794979079497908
479,19,460,0.03966597077244259
480,24,456,0.05
481,38,443,0.079002079002079
482,25,457,0.05186721991701245
483,33,450,0.06832298136645963
484,17,467,0.03512396694214876
485,35,450,0.07216494845360824
486,48,438,0.09876543209876543
487,34,453,0.06981519507186858
488,29,459,0.05942622950819672
489,37,452,0.07566462167689161
490,28,462,0.05714285714285714
491,17,474,0.034623217922606926
492,24,468,0.04878048780487805
493,22,471,0.04462474645030426
494,30,464,0.06072874493927125
495,27,468,0.05454545454545454
496,17,479,0.034274193548387094
497,27,470,0.05432595573440644
498,39,459,0.0783132530120482
499,17,482,0.03406813627254509
500,44,456,0.088
501,24,477,0.04790419161676647
502,55,447,0.10956175298804781
503,39,464,0.0775347912524851
504,30,474,0.05952380952380952
505,60,445,0.1188118811881188
506,34,472,0.06719367588932806
507,55,452,0.10848126232741617
508,32,476,0.06299212598425197
509,63,446,0.1237721021611002
510,18,492,0.03529411764705882
511,41,470,0.08023483365949119
512,54,458,0.10546875
513,26,487,0.050682261208576995
514,51,463,0.09922178988326848
515,20,495,0.038834951456310676
516,24,492,0.046511627906976744
517,28,489,0.05415860735009671
518,58,460,0.11196911196911197
519,40,479,0.07707129094412331
520,28,492,0.05384615384615385
521,44,477,0.08445297504798464
522,25,497,0.04789272030651341
523,23,500,0.04397705544933078
524,56,468,0.10687022900763359
525,24,501,0.045714285714285714
526,67,459,0.12737642585551331
527,18,509,0.03415559772296015
528,35,493,0.06628787878787878
529,24,505,0.045368620037807186
530,31,499,0.05849056603773585
531,39,492,0.07344632768361582
532,41,491,0.07706766917293233
533,29,504,0.054409005628517824
534,33,501,0.06179775280898876
535,42,493,0.07850467289719626
536,36,500,0.06716417910447761
537,56,481,0.1042830540037244
538,49,489,0.09107806691449814
539,19,520,0.03525046382189239
540,18,522,0.03333333333333333
541,45,496,0.08317929759704251
542,25,517,0.046125461254612546
543,58,485,0.10681399631675875
544,34,510,0.0625
545,27,518,0.04954128440366973
546,22,524,0.040293040293040296
547,41,506,0.07495429616087751
548,52,496,0.0948905109489051
549,37,512,0.06739526411657559
550,38,512,0.06909090909090909
551,18,533,0.032667876588021776
552,20,532,0.036231884057971016
553,21,532,0.0379746835443038
554,30,524,0.05415162454873646
555,43,512,0.07747747747747748
556,34,522,0.06115107913669065
557,32,525,0.05745062836624776
558,18,540,0.03225806451612903
559,24,535,0.04293381037567084
560,25,535,0.044642857142857144
561,53,508,0.0944741532976827
562,19,543,0.033807829181494664
563,18,545,0.03197158081705151
564,30,534,0.05319148936170213
565,43,522,0.07610619469026549
566,18,548,0.03180212014134275
567,52,515,0.09171075837742504
568,43,525,0.07570422535211267
569,32,537,0.056239015817223195
570,30,540,0.05263157894736842
571,55,516,0.09632224168126094
572,25,547,0.043706293706293704
573,44,529,0.07678883071553229
574,31,543,0.05400696864111498
575,43,532,0.07478260869565218
576,28,548,0.04861111111111111
577,37,540,0.06412478336221837
578,25,553,0.04325259515570934
579,56,523,0.09671848013816926
580,27,553,0.04655172413793104
581,19,562,0.03270223752151463
582,23,559,0.03951890034364261
583,20,563,0.03430531732418525
584,44,540,0.07534246575342465
585,59,526,0.10085470085470086
586,46,540,0.07849829351535836
587,27,560,0.04599659284497445
588,50,538,0.08503401360544217
589,45,544,0.07640067911714771
590,74,516,0.12542372881355932
591,48,543,0.08121827411167512
592,49,543,0.08277027027027027
593,22,571,0.03709949409780776
594,21,573,0.03535353535353535
595,64,531,0.10756302521008404
596,35,561,0.0587248322147651
597,32,565,0.05360134003350084
598,19,579,0.03177257525083612
599,56,543,0.09348914858096828
600,45,555,0.075
601,51,550,0.08485856905158069
602,39,563,0.06478405315614617
603,26,577,0.04311774461028192
604,48,556,0.07947019867549669
605,50,555,0.08264462809917356
606,28,578,0.0462046204620462
607,46,561,0.0757825370675453
608,34,574,0.05592105263157895
609,50,559,0.08210180623973727
610,54,556,0.08852459016393442
611,19,592,0.031096563011456628
612,20,592,0.032679738562091505
613,44,569,0.07177814029363784
614,39,575,0.06351791530944625
615,43,572,0.06991869918699187
616,65,551,0.10551948051948051
617,32,585,0.05186385737439222
618,26,592,0.042071197411003236
619,47,572,0.07592891760904685
620,24,596,0.03870967741935484
621,27,594,0.043478260869565216
622,19,603,0.03054662379421222
623,46,577,0.0738362760834671
624,36,588,0.057692307692307696
625,26,599,0.0416
626,55,571,0.0878594249201278
627,26,601,0.04146730462519936
628,54,574,0.08598726114649681
629,19,610,0.030206677265500796
630,29,601,0.046031746031746035
631,21,610,0.03328050713153724
632,55,577,0.08702531645569621
633,35,598,0.05529225908372828
634,19,615,0.02996845425867508
635,20,615,0.031496062992125984
636,22,614,0.03459119496855346
637,19,618,0.029827315541601257
638,32,606,0.050156739811912224
639,36,603,0.056338028169014086
640,30,610,0.046875
641,45,596,0.07020280811232449
642,35,607,0.05451713395638629
643,47,596,0.07309486780715396
644,77,567,0.11956521739130435
645,40,605,0.06201550387596899
646,67,579,0.10371517027863777
647,27,620,0.04173106646058733
648,66,582,0.10185185185185185
649,32,617,0.04930662557781202
650,41,609,0.06307692307692307
651,51,600,0.07834101382488479
652,37,615,0.05674846625766871
653,48,605,0.07350689127105667
654,20,634,0.03058103975535168
655,68,587,0.10381679389312977
656,29,627,0.04420731707317073
657,32,625,0.0487062404870624
658,47,611,0.07142857142857142
659,27,632,0.0409711684370258
660,25,635,0.03787878787878788
661,32,629,0.048411497730711045
662,21,641,0.03172205438066465
663,71,592,0.10708898944193061
664,41,623,0.061746987951807226
665,27,638,0.0406015037593985
666,33,633,0.04954954954954955
667,52,615,0.07796101949025487
668,33,635,0.04940119760479042
669,38,631,0.05680119581464873
670,84,586,0.1253731343283582
671,20,651,0.029806259314456036
672,36,636,0.05357142857142857
673,50,623,0.07429420505200594
674,41,633,0.06083086053412463
675,31,644,0.045925925925925926
676,57,619,0.08431952662721894
677,22,655,0.03249630723781388
678,58,620,0.0855457227138643
679,24,655,0.035346097201767304
680,38,642,0.05588235294117647
681,42,639,0.06167400881057269
682,23,659,0.03372434017595308
683,27,656,0.03953147877013177
684,20,664,0.029239766081871343
685,46,639,0.06715328467153285
686,41,645,0.0597667638483965
687,78,609,0.11353711790393013
688,37,651,0.05377906976744186
689,28,661,0.040638606676342524
690,28,662,0.04057971014492753
691,21,670,0.030390738060781478
692,41,651,0.059248554913294796
693,34,659,0.049062049062049064
694,54,640,0.07780979827089338
695,20,675,0.02877697841726619
696,26,670,0.03735632183908046
697,49,648,0.0703012912482066
698,29,669,0.04154727793696275
699,52,647,0.07439198855507868
700,41,659,0.05857142857142857
701,34,667,0.04850213980028531
702,20,682,0.02849002849002849
703,45,658,0.06401137980085349
704,54,650,0.07670454545454546
705,53,652,0.075177304964539
706,59,647,0.08356940509915015
707,20,687,0.028288543140028287
708,39,669,0.05508474576271186
709,58,651,0.08180535966149506
710,20,690,0.028169014084507043
711,28,683,0.03938115330520394
712,71,641,0.0997191011235955
713,46,667,0.06451612903225806
714,21,693,0.029411764705882353
715,50,665,0.06993006993006994
716,42,674,0.05865921787709497
717,38,679,0.05299860529986053
718,58,660,0.0807799442896936
719,29,690,0.04033379694019471
720,48,672,0.06666666666666667
721,25,696,0.03467406380027739
722,42,680,0.05817174515235457
723,46,677,0.0636237897648686
724,32,692,0.04419889502762431
725,23,702,0.031724137931034485
726,28,698,0.03856749311294766
727,49,678,0.06740027510316368
728,38,690,0.0521978021978022
729,52,677,0.07133058984910837
730,46,684,0.06301369863013699
731,53,678,0.07250341997264022
732,24,708,0.03278688524590164
733,21,712,0.0286493860845839
734,38,696,0.051771117166212535
735,28,707,0.0380952380952381
736,58,678,0.07880434782608696
737,70,667,0.09497964721845319
738,46,692,0.06233062330623306
739,28,711,0.037889039242219216
740,44,696,0.05945945945945946
741,30,711,0.04048582995951417
742,44,698,0.05929919137466307
743,71,672,0.0955585464333782
744,33,711,0.04435483870967742
745,22,723,0.02953020134228188
746,43,703,0.057640750670241284
747,39,708,0.05220883534136546
748,53,695,0.07085561497326204
749,54,695,0.07209612817089453
750,21,729,0.028
751,57,694,0.0758988015978695
752,36,716,0.047872340425531915
753,34,719,0.0451527224435591
754,54,700,0.07161803713527852
755,53,702,0.07019867549668875
756,33,723,0.04365079365079365
757,30,727,0.03963011889035667
758,29,729,0.03825857519788918
759,37,722,0.048748353096179184
760,43,717,0.056578947368421055
761,52,709,0.0683311432325887
762,36,726,0.047244094488188976
763,21,742,0.027522935779816515
764,47,717,0.061518324607329845
765,64,701,0.08366013071895424
766,23,743,0.030026109660574413
767,47,720,0.061277705345501955
768,28,740,0.036458333333333336
769,37,732,0.04811443433029909
770,47,723,0.06103896103896104
