size,seen,unseen,proportion
945,52,893,0.05502645502645503
946,23,923,0.024312896405919663
947,35,912,0.03695881731784583
948,73,875,0.0770042194092827
949,42,907,0.044257112750263436
950,53,897,0.05578947368421053
951,60,891,0.06309148264984227
952,38,914,0.03991596638655462
953,23,930,0.024134312696747113
954,29,925,0.03039832285115304
955,52,903,0.05445026178010471
956,43,913,0.04497907949790795
957,47,910,0.04911180773249739
958,23,935,0.024008350730688934
959,42,917,0.043795620437956206
960,24,936,0.025
961,23,938,0.023933402705515087
962,38,924,0.0395010395010395
963,35,928,0.036344755970924195
964,25,939,0.025933609958506226
965,32,933,0.03316062176165803
966,33,933,0.034161490683229816
967,44,923,0.045501551189245086
968,38,930,0.03925619834710744
969,67,902,0.06914344685242518
970,52,918,0.05360824742268041
971,66,905,0.06797116374871266
972,48,924,0.04938271604938271
973,57,916,0.05858170606372045
974,34,940,0.03490759753593429
975,59,916,0.06051282051282051
976,70,906,0.07172131147540983
977,31,946,0.03172978505629478
978,37,941,0.03783231083844581
979,28,951,0.028600612870275793
980,32,948,0.0326530612244898
981,67,914,0.06829765545361875
982,41,941,0.04175152749490835
983,24,959,0.024415055951169887
984,49,935,0.049796747967479675
985,63,922,0.06395939086294417
986,39,947,0.03955375253549696
987,48,939,0.0486322188449848
988,54,934,0.05465587044534413
989,32,957,0.032355915065722954
990,27,963,0.02727272727272727
991,36,955,0.03632694248234107
992,53,939,0.05342741935483871
993,32,961,0.032225579053373615
994,67,927,0.06740442655935613
995,40,955,0.04020100502512563
996,70,926,0.07028112449799197
997,68,929,0.06820461384152457
998,53,945,0.0531062124248497
999,33,966,0.03303303303303303
